file_path,category,type,purpose,evidence_strength,size_bytes,has_secrets,linked_from
Dockerfile,build,docker,Container build configuration,direct,400,no,no
EVIDENCE_INDEX.md,index,markdown,Evidence index and reference,direct,3060,no,no
Makefile,build,makefile,Build automation,direct,1204,no,no
README.md,documentation,markdown,Project overview and technical narrative,direct,2622,no,no
analysis/component_summary.csv,analysis,csv,Quantitative engineering analysis linking claims to raw evidence,direct,691,no,yes
analysis/event_timeline.csv,analysis,csv,Quantitative engineering analysis linking claims to raw evidence,direct,12917,no,yes
analysis/evidence_index.csv,analysis,csv,Quantitative engineering analysis linking claims to raw evidence,direct,86,no,yes
analysis/final_analysis_report.md,analysis,markdown,Quantitative engineering analysis linking claims to raw evidence,direct,11601,no,yes
deploy/openshift/README.md,deployment,yaml,Production deployment configuration (OpenShift),direct,184,no,no
deploy/openshift/deployment.yaml,deployment,yaml,Production deployment configuration (OpenShift),direct,802,no,no
deploy/openshift/kustomization.yaml,deployment,yaml,Production deployment configuration (OpenShift),direct,127,no,no
deploy/openshift/route.yaml,deployment,yaml,Production deployment configuration (OpenShift),direct,215,no,no
deploy/openshift/service.yaml,deployment,yaml,Production deployment configuration (OpenShift),direct,222,no,no
docker-compose.yml,build,yaml,Docker compose configuration,direct,117,no,no
docs/API.md,documentation,markdown,Project engineering documentation,direct,520,no,yes
docs/ARCHITECTURE.md,documentation,markdown,Project engineering documentation,direct,335,no,yes
docs/AUDIT_LEDGER.md,documentation,markdown,Project engineering documentation,direct,9578,no,yes
docs/DOCKER.md,documentation,markdown,Project engineering documentation,direct,218,no,yes
docs/OPENSHIFT.md,documentation,markdown,Project engineering documentation,direct,149,no,yes
docs/failure-taxonomy.md,documentation,markdown,Project engineering documentation,direct,5130,no,yes
docs/governor-evolution.md,documentation,markdown,Project engineering documentation,direct,3046,no,yes
docs/verified-baselines.md,documentation,markdown,Project engineering documentation,direct,4173,no,yes
evidence/CONFIG_ATTEMPTS_SUMMARY.md,evidence,markdown,Evidence documentation,direct,5048,no,yes
evidence/agent55_baselines/CONTEXT_BUDGET_GUARD_PASS.md,evidence,markdown,Evidence documentation,direct,858,no,yes
evidence/agent55_baselines/qwen_request_governor_PASS_20260619_203505.jsonl,evidence,other,Evidence artifact,direct,596498,no,yes
evidence/benchmarks/01_llmfit_system.txt,evidence,benchmark,Performance benchmark results,direct,198,no,yes
evidence/benchmarks/02_gpu_state.txt,evidence,benchmark,Performance benchmark results,direct,231,no,yes
evidence/benchmarks/03_vllm_models.txt,evidence,benchmark,Performance benchmark results,direct,0,no,yes
evidence/benchmarks/04_vllm_bench.txt,evidence,benchmark,Performance benchmark results,direct,10711415,no,yes
evidence/benchmarks/context_stress_bench.txt,evidence,benchmark,Performance benchmark results,direct,1930,no,yes
evidence/benchmarks/context_stress_template_no_think.txt,evidence,benchmark,Performance benchmark results,direct,1172,no,yes
evidence/benchmarks/direct_vllm_bench.txt,evidence,benchmark,Performance benchmark results,direct,1389,no,yes
